"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///CWE-730/codeql_1.py:1:19:1:25""]] and is executed by [[""re.findall""|""relative:///CWE-730/codeql_1.py:13:16:13:45""]].","/CWE-730/codeql_1.py","13","27","13","33"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression depends on a [[""user-provided value""|""relative:///CWE-400/sonar_1.py:1:19:1:25""]] and is executed by [[""re.search""|""relative:///CWE-400/sonar_1.py:17:34:17:62""]].","/CWE-400/sonar_1.py","17","44","17","51"
